10000001	1861	1.7614	3.1523	3.3637	3.8837	-0.126
10000004	2070	-0.2922	0.8632	1.5117	1.6096	-0.257
10000006	1210	-0.6792	1.0132	1.975	1.6693	-0.694
10000014	1433	0.6976	2.1657	2.4561	3.0546	-0.07
10000017	1441	0.1879	1.5184	2.2117	2.8705	0.1011
10000019	1875	0.9554	1.888	2.9539	3.3719	1.424
10000020	1365	0.5145	1.8367	2.5394	3.3599	-0.125
10000022	1405	1.2192	3.0072	3.1878	3.1897	1.357
10000024	2329	2.1097	2.9754	3.1603	3.3655	1.015
10000025	1103	-0.8556	0.7985	1.7305	2.2391	-0.155
10000026	1062	-0.7246	0.5141	1.7603	2.016	-0.46
10000029	2042	0.2457	2.1419	2.6295	2.6574	-0.428
10000030	1704	0.0941	1.2493	2.183	2.4185	-0.01
10000032	1691	0.9094	2.2792	2.3221	3.0387	0.5991
10000036	1955	0.2444	1.6102	2.1312	2.6953	-0.784
10000037	2216	-1.1752	9999	9999	9999	9999
10000038	1603	-0.0693	1.0465	1.7816	2.1594	0.2462
10000040	1568	-0.1975	1.4634	2.1009	2.6464	0.6586
10000041	1633	1.8931	2.3261	9999	9999	1.223
10000042	2311	0.3425	0.9065	1.5632	1.7486	-1.31
10000043	1679	0.3903	1.5639	9999	9999	-0.109
10000046	2006	0.7997	1.6084	1.6279	2.5951	0.9014
10000047	1438	0.5199	1.1599	1.9091	2.2485	0.5849
10000049	2281	0.1571	1.0848	2.2969	2.0819	-1.81
10000052	1365	0.0415	1.3376	1.8565	2.4671	-0.605
10000053	1915	-0.0795	1.0385	1.3518	2.178	0.5009
10000056	1034	1.7647	2.3661	3.1654	3.2586	0.2646
10000058	1325	0.8444	2.1612	2.4193	3.2828	-0.064
10000059	1377	9999	9999	9999	9999	-0.021
10000062	1499	0.6641	1.2818	1.9931	2.2391	-0.587
10000063	1273	0.7957	1.4892	1.4404	2.5053	-0.226
10000067	1216	-1.6264	-0.1781	0.1759	9999	2.12
10000068	1599	0.4651	1.1008	1.5463	1.9974	-1.3
10000069	1155	-1.0162	0.0666	0.9986	1.1192	9999
10000070	1689	0.7436	1.4911	2.6407	2.8625	0.7557
10000071	2122	0.2627	1.1362	1.9007	2.6017	-0.236
10000072	2300	1.7836	3.3072	3.2915	3.9899	2.103
10000074	2245	9999	9999	9999	9999	0.7917
